,County,State,County_State,gdp_2018,gdp_2017,gdp_2016,gdp_2015,gdp_2014,gdp_2013,gdp_2012,gdp_2011,gdp_2010,gdp_2009,gdp_2008
0,Autauga, AL,"Autauga, AL",6.9,-4.8,0.6,10.4,3.0,-2.0,13.1,10.4,6.3,7.5,-8.1
1,Baldwin, AL,"Baldwin, AL",6.9,2.2,5.0,6.1,3.1,4.9,5.3,2.3,3.9,-3.6,-3.7
2,Barbour, AL,"Barbour, AL",7.4,2.6,-1.5,2.5,-3.9,9.6,-1.1,-2.5,3.0,1.1,-4.3
3,Bibb, AL,"Bibb, AL",5.9,1.1,1.7,-0.9,0.9,4.0,0.8,3.4,8.7,-1.7,2.4
4,Blount, AL,"Blount, AL",6.3,5.8,-3.7,2.0,-0.4,6.6,5.1,-1.1,0.2,-1.2,1.0
5,Bullock, AL,"Bullock, AL",4.9,-2.6,8.3,1.3,-8.4,-1.4,10.7,0.2,-4.7,13.1,2.5
6,Butler, AL,"Butler, AL",5.5,2.2,-2.2,2.2,1.5,2.5,2.5,5.5,16.5,-7.0,-1.7
7,Calhoun, AL,"Calhoun, AL",4.8,1.8,2.5,0.2,-1.9,-3.3,0.1,-3.1,6.3,-3.4,3.9
8,Chambers, AL,"Chambers, AL",-1.4,-0.9,10.8,28.2,22.3,73.7,11.9,4.8,3.8,-3.1,-11.1
9,Cherokee, AL,"Cherokee, AL",9.6,2.5,-4.4,0.1,-3.6,10.0,1.0,7.7,5.5,-5.3,3.7
10,Chilton, AL,"Chilton, AL",6.2,2.4,1.5,3.0,-2.6,6.1,5.9,7.6,3.2,-0.6,-1.8
11,Choctaw, AL,"Choctaw, AL",11.7,-0.7,-0.8,-2.1,1.3,-0.1,11.7,24.4,8.4,-32.4,1.0
12,Clarke, AL,"Clarke, AL",5.0,-0.2,-0.6,2.4,1.8,3.8,6.7,5.4,-2.4,-1.6,-2.1
13,Clay, AL,"Clay, AL",5.7,3.5,-0.3,6.7,2.2,10.3,3.6,-4.6,1.3,-2.8,-4.6
14,Cleburne, AL,"Cleburne, AL",6.3,0.9,-4.2,0.4,4.8,7.4,9.4,-3.9,6.4,-11.0,8.6
15,Coffee, AL,"Coffee, AL",5.5,4.1,2.7,9.0,4.0,4.4,3.4,-1.9,2.6,4.2,4.1
16,Colbert, AL,"Colbert, AL",5.1,0.7,-1.6,2.9,6.4,10.9,1.9,9.2,12.2,-10.6,3.7
17,Conecuh, AL,"Conecuh, AL",4.0,5.1,-3.0,-17.3,-12.5,6.2,5.4,20.8,-2.1,-26.0,19.0
18,Coosa, AL,"Coosa, AL",7.5,0.3,3.3,4.4,0.0,7.7,-3.4,2.5,-4.0,4.8,-6.2
19,Covington, AL,"Covington, AL",3.4,3.0,0.1,2.8,1.3,4.9,7.0,-2.0,5.9,2.1,0.0
20,Crenshaw, AL,"Crenshaw, AL",1.6,2.3,-6.5,4.6,-5.4,9.0,14.4,-1.3,19.8,-6.3,0.5
21,Cullman, AL,"Cullman, AL",4.3,2.3,0.6,4.7,1.8,6.9,6.2,0.9,3.8,-0.9,0.6
22,Dale, AL,"Dale, AL",4.1,3.1,2.0,0.4,-4.6,-0.5,-0.7,-2.4,5.9,4.5,6.2
23,Dallas, AL,"Dallas, AL",3.8,-1.2,2.0,0.9,-0.8,1.4,3.7,2.9,1.0,-1.4,-2.8
24,DeKalb, AL,"DeKalb, AL",6.2,5.4,-5.2,2.7,0.3,11.3,5.1,-7.9,2.2,-2.8,-1.5
25,Elmore, AL,"Elmore, AL",4.7,2.5,3.0,4.9,0.5,4.8,2.1,0.6,3.6,4.3,3.0
26,Escambia, AL,"Escambia, AL",5.0,3.9,0.7,-6.1,-2.2,0.8,-0.7,1.1,2.6,-12.3,3.9
27,Etowah, AL,"Etowah, AL",4.1,1.4,1.9,3.4,0.6,0.6,1.9,2.6,3.4,-0.5,2.3
28,Fayette, AL,"Fayette, AL",3.9,2.4,-1.2,1.1,-18.0,-8.2,-3.3,-4.9,15.6,-2.5,27.5
29,Franklin, AL,"Franklin, AL",7.6,8.3,-2.8,3.9,-4.0,3.1,-6.0,12.0,4.9,-1.7,1.1
30,Geneva, AL,"Geneva, AL",6.5,-1.3,1.4,5.9,-0.4,5.1,3.0,-4.6,1.9,-2.9,2.8
31,Greene, AL,"Greene, AL",9.7,-4.0,-7.0,-9.1,-5.5,3.9,-11.6,17.3,1.6,-2.8,-12.3
32,Hale, AL,"Hale, AL",0.3,1.1,2.9,4.3,-8.1,2.1,0.4,1.6,5.5,-4.9,-1.2
33,Henry, AL,"Henry, AL",4.9,5.8,0.9,3.9,-2.9,7.2,-1.5,8.5,-0.4,-6.9,-1.2
34,Houston, AL,"Houston, AL",5.0,1.8,1.9,1.8,1.5,4.0,4.2,1.8,1.3,0.2,-1.7
35,Jackson, AL,"Jackson, AL",3.6,0.3,-6.0,-4.9,1.1,1.5,4.9,-1.4,4.2,-8.4,-2.9
36,Jefferson, AL,"Jefferson, AL",6.2,5.1,1.0,2.9,1.7,0.8,3.7,4.8,2.2,-5.3,3.0
37,Lamar, AL,"Lamar, AL",5.0,1.7,1.2,0.4,-2.9,2.2,4.5,6.9,1.9,-11.3,-1.6
38,Lauderdale, AL,"Lauderdale, AL",5.6,1.2,0.5,1.3,-1.4,5.1,3.5,3.5,0.0,4.2,0.3
39,Lawrence, AL,"Lawrence, AL",11.5,2.1,-5.7,-17.8,-12.1,3.8,-0.9,-3.1,-2.7,13.9,2.1
40,Lee, AL,"Lee, AL",4.1,4.9,5.7,12.2,4.5,10.1,6.5,9.3,2.5,1.8,1.6
41,Limestone, AL,"Limestone, AL",2.7,4.1,2.2,5.0,5.5,3.4,5.9,5.2,4.4,-1.9,-0.6
42,Lowndes, AL,"Lowndes, AL",2.4,5.0,-3.0,-4.7,-2.7,2.6,-10.3,12.0,15.3,2.4,-8.8
43,Macon, AL,"Macon, AL",4.5,-0.5,1.9,-0.3,-7.1,5.7,-0.1,5.1,-1.6,1.6,4.7
44,Madison, AL,"Madison, AL",6.1,3.8,3.3,3.8,1.7,1.8,1.0,2.6,5.3,3.6,5.0
45,Marengo, AL,"Marengo, AL",3.3,-1.9,1.5,0.6,3.6,3.8,3.3,-0.9,1.7,5.0,-4.3
46,Marion, AL,"Marion, AL",6.5,3.7,-1.3,3.9,-2.7,3.4,5.4,-1.4,0.7,-0.3,-5.5
47,Marshall, AL,"Marshall, AL",6.3,4.2,2.1,3.4,-1.3,6.7,6.1,1.9,2.3,-3.1,-0.1
48,Mobile, AL,"Mobile, AL",4.5,1.1,2.5,0.3,1.4,1.0,1.1,5.3,3.3,-0.3,4.9
49,Monroe, AL,"Monroe, AL",4.8,2.2,1.1,4.0,-2.0,-3.5,-8.6,-3.8,-0.7,-5.2,-0.9
50,Montgomery, AL,"Montgomery, AL",3.7,1.4,2.9,4.5,1.1,1.8,1.9,2.1,3.2,-2.1,2.2
51,Morgan, AL,"Morgan, AL",5.9,2.4,4.3,3.4,4.8,1.8,3.3,0.6,1.8,-2.5,-0.4
52,Perry, AL,"Perry, AL",-2.6,-0.8,-2.1,-2.7,-10.3,4.2,4.3,-4.6,12.3,-6.5,9.2
53,Pickens, AL,"Pickens, AL",3.5,0.5,-2.4,-3.0,0.6,23.4,6.1,-8.8,1.5,4.6,-3.3
54,Pike, AL,"Pike, AL",2.3,1.3,1.7,5.0,8.1,0.7,1.7,-3.9,8.5,-3.0,5.4
55,Randolph, AL,"Randolph, AL",4.3,2.6,-4.5,1.9,0.8,12.8,4.2,-7.9,3.8,-3.9,-4.4
56,Russell, AL,"Russell, AL",4.7,0.5,3.5,7.6,8.1,4.7,2.2,0.1,5.0,6.8,1.7
57,St. Clair, AL,"St. Clair, AL",4.7,2.9,3.3,2.3,1.7,6.0,9.8,5.7,5.3,-4.2,1.2
58,Shelby, AL,"Shelby, AL",6.9,6.8,1.3,8.9,6.3,4.7,5.3,4.0,2.3,-3.6,-0.3
59,Sumter, AL,"Sumter, AL",-0.9,-3.7,0.2,0.0,-0.4,3.4,5.6,5.6,7.1,6.3,-8.3
60,Talladega, AL,"Talladega, AL",5.2,0.4,0.0,2.2,1.0,5.0,6.7,6.0,11.2,-12.8,-3.6
61,Tallapoosa, AL,"Tallapoosa, AL",5.5,-4.9,4.1,6.1,7.2,-1.0,5.4,6.1,13.4,-4.7,0.3
62,Tuscaloosa, AL,"Tuscaloosa, AL",6.7,6.2,-1.0,-2.5,-4.1,-0.5,-1.6,17.6,7.6,-11.0,0.5
63,Walker, AL,"Walker, AL",8.4,6.8,-3.0,8.5,1.0,3.1,-1.9,-1.4,4.3,0.3,3.8
64,Washington, AL,"Washington, AL",5.9,2.3,8.3,-9.3,10.9,6.3,-7.0,-3.2,7.4,8.7,-4.7
65,Wilcox, AL,"Wilcox, AL",3.5,1.7,1.5,3.3,-0.4,8.9,-3.0,-6.1,-4.3,15.1,-4.8
66,Winston, AL,"Winston, AL",6.3,6.4,0.2,3.6,-0.4,7.6,2.9,0.9,10.2,-7.4,-6.8
67,Aleutians East Borough, AK,"Aleutians East Borough, AK*",-1.8,1.4,11.4,37.6,0.7,16.4,-0.6,-20.7,-32.6,12.9,7.9
68,Aleutians West Census Area, AK,"Aleutians West Census Area, AK*",2.3,-5.0,1.4,2.2,1.5,7.2,9.8,6.5,-9.5,2.6,-7.5
69,Anchorage Municipality, AK,"Anchorage Municipality, AK",4.5,0.1,-1.0,3.4,1.4,-0.1,2.4,3.6,7.1,3.1,7.8
70,Bethel Census Area, AK,"Bethel Census Area, AK*",4.5,1.8,0.1,1.4,-0.3,1.9,4.8,9.5,7.4,9.4,0.4
71,Bristol Bay Borough, AK,"Bristol Bay Borough, AK",14.3,-1.9,5.3,-2.4,2.7,10.4,0.3,-7.4,-8.4,14.3,-7.5
72,Denali Borough, AK,"Denali Borough, AK*",3.7,4.4,-3.1,-2.6,4.4,29.4,2.2,-4.2,-2.0,-1.4,17.8
73,Dillingham Census Area, AK,"Dillingham Census Area, AK*",3.6,0.4,0.0,3.6,6.4,3.5,3.6,-0.6,5.6,12.8,2.1
74,Fairbanks North Star Borough, AK,"Fairbanks North Star Borough, AK",4.5,3.0,0.3,1.5,3.3,0.2,-2.7,-2.2,3.9,-0.2,9.6
75,Haines Borough, AK,"Haines Borough, AK",5.0,6.3,0.0,7.4,0.9,8.9,1.7,-1.3,3.7,5.7,-0.5
76,Hoonah-Angoon Census Area, AK,"Hoonah-Angoon Census Area, AK*",6.6,6.1,-6.1,2.8,0.9,6.6,2.1,6.5,10.6,-1.6,0
77,Juneau City and Borough, AK,"Juneau City and Borough, AK",2.4,6.0,1.7,-3.1,1.3,0.2,1.3,5.6,11.5,3.5,-2.4
78,Kenai Peninsula Borough, AK,"Kenai Peninsula Borough, AK",7.5,4.1,-5.9,-5.2,7.9,5.5,1.3,4.8,6.7,-5.2,3.5
79,Ketchikan Gateway Borough, AK,"Ketchikan Gateway Borough, AK*",3.5,0.9,-0.7,3.6,0.6,3.2,3.4,2.9,1.0,5.8,4.7
80,Kodiak Island Borough, AK,"Kodiak Island Borough, AK",2.0,0.6,-4.9,4.4,2.7,5.0,4.6,2.5,0.5,11.3,2.1
81,Kusilvak Census Area, AK,"Kusilvak Census Area, AK*",4.0,-1.8,2.4,-0.2,8.6,0.5,6.7,7.6,2.7,9.0,5.4
82,Lake and Peninsula Borough, AK,"Lake and Peninsula Borough, AK*",6.4,10.8,-0.7,-0.5,1.0,4.1,7.3,4.8,-2.7,-13.7,-32.1
83,Matanuska-Susitna Borough, AK,"Matanuska-Susitna Borough, AK",5.0,-0.5,0.6,6.8,3.9,2.6,4.6,7.0,8.5,7.2,5.7
84,Nome Census Area, AK,"Nome Census Area, AK*",2.8,5.0,-6.4,3.7,4.5,1.7,-4.6,4.8,18.5,-13.4,12.4
85,North Slope Borough, AK,"North Slope Borough, AK",11.4,32.0,-16.1,-48.0,-15.6,-11.9,1.0,16.8,7.3,-32.0,30.2
86,Northwest Arctic Borough, AK,"Northwest Arctic Borough, AK",4.5,22.9,2.1,-13.0,1.3,-0.5,-14.7,1.1,18.7,4.7,-14.4
87,Petersburg Borough, AK,"Petersburg Borough, AK*",2.7,-0.6,-5.6,2.2,-0.7,-3.8,-5.3,7.2,4.5,0,0
88,Prince of Wales-Hyder Census Area, AK,"Prince of Wales-Hyder Census Area, AK*",3.6,1.5,2.6,-6.7,-0.1,10.4,-11.2,3.5,7.5,0,0
89,Prince of Wales-Outer Ketchikan Census Area, AK,"Prince of Wales-Outer Ketchikan Census Area, AK*",0,0,0,0,0,0,0,0,0,0,6.9
90,Sitka City and Borough, AK,"Sitka City and Borough, AK",5.2,1.2,-7.3,0.3,-1.7,5.4,7.9,5.0,7.8,8.0,1.8
91,Skagway Municipality, AK,"Skagway Municipality, AK*",4.5,5.6,6.3,-9.7,-3.4,0.7,10.3,0.2,10.1,0.9,0
92,Skagway-Hoonah-Angoon Census Area, AK,"Skagway-Hoonah-Angoon Census Area, AK*",0,0,0,0,0,0,0,0,0,0,0
93,Southeast Fairbanks Census Area, AK,"Southeast Fairbanks Census Area, AK*",1.8,15.4,6.1,-12.1,-2.7,-1.6,-20.0,-0.1,12.2,6.0,-7.4
94,Valdez-Cordova Census Area, AK,"Valdez-Cordova Census Area, AK*",10.6,3.4,2.7,3.2,13.3,32.0,135.6,-8.4,-1.2,-19.1,-27.4
95,Wrangell City and Borough, AK,"Wrangell City and Borough, AK*",6.4,-3.3,3.8,1.2,3.9,9.1,-0.4,3.8,12.2,0,0
96,Wrangell-Petersburg Census Area, AK,"Wrangell-Petersburg Census Area, AK*",0,0,0,0,0,0,0,0,0,0,-6.5
97,Yakutat City and Borough, AK,"Yakutat City and Borough, AK*",7.1,-3.3,-16.6,-11.7,-3.1,16.1,11.2,2.1,6.2,-3.0,-5.7
98,Yukon-Koyukuk Census Area, AK,"Yukon-Koyukuk Census Area, AK*",8.5,1.2,8.0,3.1,-16.3,-24.6,-2.5,19.1,23.7,-0.8,-3.9
99,Apache, AZ,"Apache, AZ",5.8,3.7,0.1,0.9,-4.1,2.9,-3.3,3.4,8.7,4.2,11.1
100,Cochise, AZ,"Cochise, AZ",5.7,0.3,3.7,2.2,0.4,-1.9,-3.3,1.0,4.0,2.4,2.2
101,Coconino, AZ,"Coconino, AZ",2.5,7.4,3.7,3.4,1.4,4.9,-3.8,7.4,4.5,-1.0,-0.7
102,Gila, AZ,"Gila, AZ",3.6,9.8,-4.5,-6.4,-3.7,9.8,-6.6,12.0,8.0,0.7,-1.5
103,Graham, AZ,"Graham, AZ",9.4,9.8,16.3,2.0,0.8,-5.8,11.0,9.1,5.8,-6.0,-7.2
104,Greenlee, AZ,"Greenlee, AZ",2.5,34.1,-11.0,-21.3,12.0,0.2,-11.5,17.3,15.7,-25.3,21.9
105,La Paz, AZ,"La Paz, AZ",5.3,1.4,6.7,3.6,-4.4,1.3,-4.3,14.4,0.1,-7.2,-8.2
106,Maricopa, AZ,"Maricopa, AZ",6.8,5.0,5.0,5.6,4.0,2.9,5.9,4.1,1.0,-6.9,-2.0
107,Mohave, AZ,"Mohave, AZ",5.7,3.0,4.4,2.7,4.6,3.5,0.7,0.6,0.0,-5.8,-2.5
108,Navajo, AZ,"Navajo, AZ",6.4,6.6,-1.1,1.5,-0.8,2.1,-0.9,4.7,-0.4,2.0,-0.6
109,Pima, AZ,"Pima, AZ",5.7,5.8,4.6,1.9,2.3,1.0,2.7,1.2,3.0,-4.7,1.6
110,Pinal, AZ,"Pinal, AZ",7.6,1.7,2.9,-2.2,5.8,-2.6,0.8,12.0,1.5,-4.2,1.7
111,Santa Cruz, AZ,"Santa Cruz, AZ",7.4,6.3,2.0,3.5,1.6,1.1,1.2,4.8,4.9,-0.7,4.6
112,Yavapai, AZ,"Yavapai, AZ",5.8,6.1,5.2,4.0,5.7,3.1,1.8,-0.2,-1.5,-5.5,-0.4
113,Yuma, AZ,"Yuma, AZ",2.3,8.7,7.3,10.9,-4.4,9.2,-5.0,3.7,7.8,-4.5,-6.0
114,Arkansas, AR,"Arkansas, AR",2.4,-4.0,6.3,3.0,-5.1,14.9,5.1,2.6,-0.2,10.0,6.7
115,Ashley, AR,"Ashley, AR",4.5,1.0,3.2,-3.8,1.3,10.7,0.6,5.4,7.0,0.5,0.5
116,Baxter, AR,"Baxter, AR",4.6,2.0,1.5,2.1,4.0,2.2,-4.2,2.4,4.4,-3.9,4.6
117,Benton, AR,"Benton, AR",4.5,6.9,3.0,5.9,7.1,9.9,7.8,4.6,6.4,-0.4,2.1
118,Boone, AR,"Boone, AR",6.0,2.1,1.8,1.4,3.9,-0.6,-0.1,3.1,6.2,-5.6,0.4
119,Bradley, AR,"Bradley, AR",4.8,5.6,-1.9,5.5,6.3,1.6,10.8,-2.5,15.0,-4.6,-6.3
