,County,State,County_State,unemp_2018,unemp_2017,unemp_2016,unemp_2015,unemp_2014,unemp_2013,unemp_2012,unemp_2011,unemp_2010,unemp_2009,unemp_2008
0,Autauga, AL,"Autauga, AL",3.6,3.9,3.9,5.2,5.8,6.2,6.9,8.4,8.9,9.7,5.1
1,Baldwin, AL,"Baldwin, AL",3.6,4.1,4.1,5.5,6.1,6.6,7.5,9.0,10.0,9.8,4.6
2,Barbour, AL,"Barbour, AL",5.1,5.8,5.8,8.9,10.5,10.2,11.5,11.5,12.3,14.3,8.8
3,Bibb, AL,"Bibb, AL",3.9,4.4,4.4,6.6,7.2,7.9,8.5,10.5,11.4,13.3,5.8
4,Blount, AL,"Blount, AL",3.5,4.0,4.0,5.4,6.1,6.3,6.9,8.7,9.8,10.0,4.7
5,Bullock, AL,"Bullock, AL",4.6,4.9,4.9,7.9,8.8,9.4,10.4,11.6,11.8,15.6,10.5
6,Butler, AL,"Butler, AL",4.7,5.5,5.5,7.6,8.6,10.3,11.5,12.5,13.6,16.4,8.5
7,Calhoun, AL,"Calhoun, AL",4.6,4.9,4.9,7.0,8.0,8.8,8.9,10.3,11.4,11.1,5.7
8,Chambers, AL,"Chambers, AL",3.8,4.1,4.1,6.0,6.7,8.0,9.9,12.0,14.9,19.6,14.4
9,Cherokee, AL,"Cherokee, AL",3.5,4.1,4.1,5.4,5.8,6.6,8.0,9.7,10.6,11.7,5.7
10,Chilton, AL,"Chilton, AL",3.6,4.1,4.1,5.6,6.3,6.6,7.2,9.1,10.3,10.6,5.1
11,Choctaw, AL,"Choctaw, AL",5.4,6.3,6.3,9.1,9.0,9.2,10.3,13.1,13.3,13.5,8.3
12,Clarke, AL,"Clarke, AL",7.4,8.5,8.5,11.7,12.2,13.8,15.0,18.8,19.9,16.5,9.0
13,Clay, AL,"Clay, AL",3.8,4.3,4.3,6.1,7.1,8.3,9.4,11.8,14.5,16.7,7.9
14,Cleburne, AL,"Cleburne, AL",4.2,4.5,4.5,6.0,6.6,7.7,8.2,9.7,10.0,10.2,5.1
15,Coffee, AL,"Coffee, AL",3.9,4.4,4.4,6.0,6.6,6.9,7.0,8.1,8.6,8.5,4.8
16,Colbert, AL,"Colbert, AL",4.5,5.2,5.2,7.9,8.3,8.2,8.8,10.2,11.5,11.6,6.5
17,Conecuh, AL,"Conecuh, AL",5.1,6.1,6.1,9.2,10.3,10.7,11.9,15.2,17.2,19.9,9.4
18,Coosa, AL,"Coosa, AL",4.1,4.7,4.7,6.7,8.8,9.2,9.4,12.5,15.4,16.0,8.3
19,Covington, AL,"Covington, AL",4.5,5.2,5.2,7.1,7.8,8.1,8.4,9.8,10.3,10.8,5.9
20,Crenshaw, AL,"Crenshaw, AL",4.0,4.5,4.5,6.0,6.9,7.7,8.3,9.9,10.2,10.4,5.6
21,Cullman, AL,"Cullman, AL",3.2,3.7,3.7,5.3,6.1,6.7,7.7,9.5,10.4,10.3,4.9
22,Dale, AL,"Dale, AL",4.1,4.5,4.5,6.4,7.1,7.4,7.4,8.3,8.8,9.6,5.4
23,Dallas, AL,"Dallas, AL",6.4,7.5,7.5,9.6,11.2,12.2,12.9,15.1,16.9,21.1,11.1
24,DeKalb, AL,"DeKalb, AL",3.8,4.5,4.5,6.1,6.9,7.6,9.0,11.8,12.7,14.3,5.8
25,Elmore, AL,"Elmore, AL",3.4,3.7,3.7,5.0,5.7,6.2,6.9,8.4,9.1,9.5,5.1
26,Escambia, AL,"Escambia, AL",4.5,5.0,5.0,7.0,8.0,8.6,9.2,10.8,11.8,13.5,7.6
27,Etowah, AL,"Etowah, AL",4.0,4.6,4.6,6.2,7.0,7.6,8.2,10.0,10.9,11.5,6.0
28,Fayette, AL,"Fayette, AL",4.0,4.7,4.7,7.0,7.8,8.3,8.6,11.1,13.0,14.0,7.2
29,Franklin, AL,"Franklin, AL",3.7,4.3,4.3,6.4,7.7,8.0,8.4,9.6,10.7,13.4,7.4
30,Geneva, AL,"Geneva, AL",3.9,4.3,4.3,5.9,6.7,7.0,7.6,9.2,10.4,10.8,5.5
31,Greene, AL,"Greene, AL",6.6,7.5,7.5,11.1,12.5,12.8,13.6,17.3,17.3,15.3,8.5
32,Hale, AL,"Hale, AL",5.0,5.9,5.9,7.8,9.9,11.6,11.5,13.8,15.1,14.3,7.4
33,Henry, AL,"Henry, AL",4.4,4.9,4.9,6.8,7.5,7.7,8.3,9.7,10.9,11.2,7.7
34,Houston, AL,"Houston, AL",4.0,4.4,4.4,6.2,6.8,6.9,7.5,8.6,9.1,9.3,4.9
35,Jackson, AL,"Jackson, AL",4.0,4.8,4.8,6.6,7.3,7.9,8.6,10.3,11.8,12.8,6.2
36,Jefferson, AL,"Jefferson, AL",3.7,4.3,4.3,5.8,6.3,6.7,7.4,9.3,10.3,10.8,5.4
37,Lamar, AL,"Lamar, AL",3.7,4.2,4.2,6.3,7.0,7.0,7.5,9.7,13.2,16.0,8.0
38,Lauderdale, AL,"Lauderdale, AL",4.1,4.6,4.6,6.9,7.2,7.1,7.7,9.1,10.1,10.7,5.7
39,Lawrence, AL,"Lawrence, AL",4.1,4.9,4.9,7.7,8.2,8.3,9.0,10.9,12.6,13.6,6.5
40,Lee, AL,"Lee, AL",3.6,4.0,4.0,5.2,5.6,5.9,6.8,8.1,9.0,9.4,5.2
41,Limestone, AL,"Limestone, AL",3.5,4.0,4.0,5.5,6.1,6.3,6.9,8.6,9.6,9.8,4.7
42,Lowndes, AL,"Lowndes, AL",7.2,8.2,8.2,11.5,12.8,14.1,15.4,17.7,18.5,19.3,10.9
43,Macon, AL,"Macon, AL",5.3,5.8,5.8,8.0,9.1,9.6,10.7,14.0,14.8,12.2,7.4
44,Madison, AL,"Madison, AL",3.4,3.9,3.9,5.5,6.2,6.3,6.9,8.3,8.3,8.0,4.2
45,Marengo, AL,"Marengo, AL",4.9,5.6,5.6,7.6,8.0,8.9,10.2,12.6,13.7,14.2,7.4
46,Marion, AL,"Marion, AL",4.0,4.8,4.8,6.9,7.9,7.9,8.9,11.2,13.6,16.6,8.0
47,Marshall, AL,"Marshall, AL",3.3,3.8,3.8,5.8,6.7,6.8,7.8,9.4,9.6,10.2,4.7
48,Mobile, AL,"Mobile, AL",4.6,5.2,5.2,6.9,7.7,8.5,9.2,10.8,11.3,11.3,5.7
49,Monroe, AL,"Monroe, AL",6.0,6.7,6.7,10.1,11.1,11.9,12.5,15.7,18.1,19.5,10.2
50,Montgomery, AL,"Montgomery, AL",3.9,4.3,4.3,6.1,6.9,7.3,8.1,9.7,10.0,10.5,5.9
51,Morgan, AL,"Morgan, AL",3.4,4.1,4.1,5.9,6.6,6.9,7.8,9.4,10.8,10.8,5.2
52,Perry, AL,"Perry, AL",6.4,7.8,7.8,10.0,12.1,13.5,13.3,16.5,16.8,19.9,11.3
53,Pickens, AL,"Pickens, AL",4.5,5.4,5.4,6.8,8.2,9.3,10.2,12.0,13.1,13.7,7.1
54,Pike, AL,"Pike, AL",4.5,4.9,4.9,6.6,7.4,7.6,8.0,8.9,9.4,9.5,4.9
55,Randolph, AL,"Randolph, AL",4.0,4.4,4.4,5.9,6.7,7.8,9.2,11.4,13.4,14.9,7.3
56,Russell, AL,"Russell, AL",4.0,4.3,4.3,5.9,6.5,7.2,8.8,10.3,10.9,12.3,8.0
57,St. Clair, AL,"St. Clair, AL",3.4,4.0,4.0,5.2,5.8,6.1,6.9,8.8,10.1,10.9,5.0
58,Shelby, AL,"Shelby, AL",2.8,3.2,3.2,4.2,4.5,4.6,5.0,6.2,7.1,7.8,3.7
59,Sumter, AL,"Sumter, AL",5.7,6.6,6.6,8.0,8.5,9.0,10.5,13.1,13.3,14.9,8.7
